Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Material (product.metafields.custom.material),Pattern (product.metafields.custom.pattern),Text Size Chart (product.metafields.product.size),Age group (product.metafields.shopify.age-group),Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Disclosures (product.metafields.shopify.disclosure),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Recommended age group (product.metafields.shopify.recommended-age-group),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
black-sparkle-net-frock,BLACK SPARKLE NET FROCK,"<p>Where Sparkle Meets Sophistication <br>Crafted in premium glamour sequin fabric, this dress is designed to make every little star shine. The shimmering sequins catch the light beautifully, while the soft tulle ruffle sleeves and layered net hem add a dreamy, graceful touch. Lightweight, comfortable, and lined with soft fabric, it lets your little one twirl, play, and sparkle with ease. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.48_2.jpg?v=1782970013,1,"",false,,,,,,,,,,black,,,,seq; net; cotton,,,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years; 10-11-years,,,female,,,,,,,kg,,,active
black-sparkle-net-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.24.11_AM.jpg?v=1782970043,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-sparkle-net-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.24.11_AM_2.jpg?v=1782970051,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-sparkle-net-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-sparkle-net-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-sparkle-net-frock,,,,,,,,,10-11-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-ruffle-seq-frock,BLACK RUFFLE SEQ FROCK,"<p>Twirl‑ready and picture perfect, this little dress mixes soft tulle with delicate sequin fringe for movement and magic. The layered ruffle neckline adds a fairy‑like finish while the fully lined interior ensures comfy wear. Ideal for parties, family portraits, and special events.</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.44_1.jpg?v=1782968804,1,"",false,,,,,,,,,,black,,party; formal,a-line,seq; net; cotton,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,mini,short,female,,,,,,,kg,,,active
black-ruffle-seq-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.17.17_AM_1.jpg?v=1782968873,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-ruffle-seq-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-04-23_at_23.43.55.jpg?v=1782967918,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-ruffle-seq-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-ruffle-seq-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-ruffle-neck-seq-frock,PINK RUFFLE NECK SEQ FROCK,"<p>Twirl‑ready and picture perfect, this little dress mixes soft tulle with delicate sequin fringe for movement and magic. The layered ruffle neckline adds a fairy‑like finish while the fully lined interior ensures comfy wear. Ideal for parties, family portraits, and special events.</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.42.jpg?v=1782967547,1,"",false,,,,,,,,,,pink,,party; formal,shift,seq; net; cotton,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,mini,short,female,,,,,,,kg,,,active
pink-ruffle-neck-seq-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.17.27_AM.jpg?v=1782967800,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-ruffle-neck-seq-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-04-23_at_23.43.55.jpg?v=1782967918,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-ruffle-neck-seq-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-ruffle-neck-seq-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-ruffle-neck-seq-frock,CREAM RUFFLE NECK SEQ FROCK,"<p>Twirl‑ready and picture perfect, this little dress mixes soft tulle with delicate sequin fringe for movement and magic. The layered ruffle neckline adds a fairy‑like finish while the fully lined interior ensures comfy wear. Ideal for parties, family portraits, and special events.</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.41_963d6662-4ecb-4068-8b23-cf2b4a6e889f.jpg?v=1782966809,1,"",false,,,,,,,,,,beige; cream,,party; formal,shift,net; cotton; seq,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,mini,short,female,,,,,,,kg,,,active
cream-ruffle-neck-seq-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.00.19_AM.jpg?v=1782966835,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-ruffle-neck-seq-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-04-23_at_23.43.55.jpg?v=1782967918,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-ruffle-neck-seq-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
brown-sleeveless-floral-frock,BROWN SLEEVELESS FLORAL FROCK,"<p>Premium-quality printed fabric.</p>
<p>Soft, breathable &amp; skin-friendly.</p>
<p>Elegant floral marble inspired print.</p>
<p>Statement floral bow detailing<br>Layered tulle frill hem for a princess look.</p>
<p>Lightweight, comfortable &amp; easy to wear<br>Ideal for parties, festive wear &amp; special occasions. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.48.jpg?v=1782966077,1,"",false,,,,,,kids,,,,brown,,,,cotton; other,,,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years; 10-11-years,,,female,,,,,,,kg,,,active
brown-sleeveless-floral-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_9.52.01_AM.jpg?v=1782966494,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
brown-sleeveless-floral-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
brown-sleeveless-floral-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
brown-sleeveless-floral-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
brown-sleeveless-floral-frock,,,,,,,,,10-11-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
light-maroon-floral-sleeveless-frock,LIGHT MAROON FLORAL SLEEVELESS FROCK,"<p>Premium-quality printed fabric.</p>
<p>Soft, breathable &amp; skin-friendly.</p>
<p>Elegant floral marble inspired print.</p>
<p>Statement floral bow detailing<br>Layered tulle frill hem for a princess look.</p>
<p>Lightweight, comfortable &amp; easy to wear<br>Ideal for parties, festive wear &amp; special occasions. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.47_2.jpg?v=1782911553,1,"",false,,,,,,,breathable-design,,,floral; maroon,,party,flared,,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years; 10-11-years,short,sleeveless,female,,,,,,,kg,,,active
light-maroon-floral-sleeveless-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-01_at_6.31.30_PM_1.jpg?v=1782911566,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
light-maroon-floral-sleeveless-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
light-maroon-floral-sleeveless-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
light-maroon-floral-sleeveless-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
light-maroon-floral-sleeveless-frock,,,,,,,,,10-11-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
grey-floral-sleeveless-frock,GREY FLORAL SLEEVELESS FROCK,"<p>Premium-quality printed fabric.</p>
<p>Soft, breathable &amp; skin-friendly.</p>
<p>Elegant floral marble inspired print.</p>
<p>Statement floral bow detailing<br>Layered tulle frill hem for a princess look.</p>
<p>Lightweight, comfortable &amp; easy to wear<br>Ideal for parties, festive wear &amp; special occasions. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing,"","",true,Size,5-6 years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.47_1.jpg?v=1782910735,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
grey-floral-sleeveless-frock,,,,,,,,,6-7 years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-01_at_6.31.30_PM.jpg?v=1782911390,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
grey-floral-sleeveless-frock,,,,,,,,,7-8 years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
grey-floral-sleeveless-frock,,,,,,,,,8-9 years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
grey-floral-sleeveless-frock,,,,,,,,,9-10 years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
grey-floral-sleeveless-frock,,,,,,,,,10-11 years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-sleeveless-frock,CREAM SLEEVELESS FROCK,"<p>Soft &amp; lightweight fabric.<br>Intricate floral embroidery with subtle sparkle.<br>Statement ruffle neckline with elegant floral detail.<br>Perfect for birthdays, weddings, parties &amp; celebrations<br>Because every little girl deserves to feel like a princess. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-07-01at5.35.18PM_2.jpg?v=1782910215,1,"",false,,,,,,,,,,beige; cream,,birthday; party; formal,,,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years; 10-11-years,short,sleeveless,female,,,,,,,kg,,,active
cream-sleeveless-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-01_at_5.35.18_PM_3.jpg?v=1782910231,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-sleeveless-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-sleeveless-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-sleeveless-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-sleeveless-frock,,,,,,,,,10-11-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sleeveless-frock,PINK SLEEVELESS FROCK,"<p>Soft &amp; lightweight fabric.<br>Intricate floral embroidery with subtle sparkle.<br>Statement ruffle neckline with elegant floral detail.<br>Perfect for birthdays, weddings, parties &amp; celebrations<br>Because every little girl deserves to feel like a princess. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.45_1.jpg?v=1782907947,1,"",false,,,,,,,,,,pink,,birthday; party; formal,a-line,net; cotton,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years,short,sleeveless,female,,,,,,,kg,,,active
pink-sleeveless-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-01_at_5.28.13_PM.jpg?v=1782908111,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sleeveless-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
beige-sleeveless-3d-floral-frock,BEIGE SLEEVELESS 3D FLORAL FROCK,"<p>Soft premium fabric with breathable lining<br>Intricate 3D floral embroidery and sequin detailing<br>Elegant shoulder bow with floral accent<br>Flowy layered tulle skirt<br>Comfortable fit for all-day wear<br>Available in beautiful pastel shades like cream/beige<br>A timeless outfit that blends. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,4-5-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.49.jpg?v=1782901586,1,"",false,,,,,,,breathable-design,,,beige,,everyday; casual,flared,,,round,,4-5-years; 5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,short,sleeveless,female,,,,,,,kg,,,active
beige-sleeveless-3d-floral-frock,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-01_at_3.43.38_PM.jpg?v=1782901638,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
beige-sleeveless-3d-floral-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
beige-sleeveless-3d-floral-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
beige-sleeveless-3d-floral-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
beige-sleeveless-3d-floral-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lavender-sleeveless-3d-floral-frock,LAVENDER SLEEVELESS 3D FLORAL FROCK,"<p>Soft premium fabric with breathable lining<br>Intricate 3D floral embroidery and sequin detailing<br>Elegant shoulder bow with floral accent<br>Flowy layered tulle skirt<br>Comfortable fit for all-day wear<br>Available in beautiful pastel shades like Lilac and Champagne<br>A timeless outfit that blends. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,4-5-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.45.jpg?v=1782900683,1,"",false,,,,,,,,,,purple,,everyday; casual,flared,,,round,,4-5-years; 5-6-years; 6-7-years; 7-8-years; 8-9-years,short,sleeveless,female,,,,,,,kg,,,active
lavender-sleeveless-3d-floral-frock,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-01_at_3.44.02_PM.jpg?v=1782901259,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lavender-sleeveless-3d-floral-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lavender-sleeveless-3d-floral-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lavender-sleeveless-3d-floral-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sleeveless-seq-floral-frock,PINK SLEEVELESS SEQ FLORAL FROCK,"<p>Premium sequin fabric<br>Intricate 3D floral<br>Elegant ruffle neckline with floral detailing<br>Soft layered tulle flare hem<br>Comfortable inner lining<br>Perfect for birthdays, weddings, parties, festive celebrations, and special occasions. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,4-5-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.42_3.jpg?v=1782899892,1,"",false,,,,,,,,,,floral; pink,,birthday; wedding; party; formal,flared,cotton; satin; synthetic; mesh,,round,,4-5-years; 5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,short,sleeveless,female,,,,,,,kg,,,active
pink-sleeveless-seq-floral-frock,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-01_at_3.30.30_PM.jpg?v=1782900064,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sleeveless-seq-floral-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sleeveless-seq-floral-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sleeveless-seq-floral-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sleeveless-seq-floral-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-sleeveless-seq-floral-frock,CREAM SLEEVELESS SEQ FLORAL FROCK,"<p>Premium sequin fabric<br>Intricate 3D floral<br>Elegant ruffle neckline with floral detailing<br>Soft layered tulle flare hem<br>Comfortable inner lining<br>Perfect for birthdays, weddings, parties, festive celebrations, and special occasions</p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,4-5-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.43_1.jpg?v=1782898651,1,"",false,,,,,,,,,,floral; beige,,birthday; wedding; party; formal,flared,cotton; satin,,round,,4-5-years; 5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,,sleeveless,female,,,,,,,kg,,,active
